Debater,Partner School,Rounds
Aadhav Raviarasan,NYU,94
Aadhavaarasan Raviarasan,NYU,49
Aadhavaarasan Raviarasan,Boston University,8
Aadhavaarasan Raviarasan,Rutgers,4
Aaraj Vij,William and Mary,11
Aaron Kahn,Swarthmore,22
Aaron Mesa,Yale,34
Aaron Rajput,American,54
Aaron Rajput,William and Mary,10
Aaron Rajput,George Washington,8
Aaron Rajput,Wellesley,6
Aaron Rajput,Johns Hopkins,2
Aaron Yang,University of Chicago,2
Aashna Parikh,Princeton,8
Aashray Khanna,Harvard,8
Aashray Khanna,Georgetown,6
Aashray Khanna,Penn,6
Aayush Bhargava,Maryland,70
Aba Tieku,William and Mary,20
Aba Tieku,Georgetown,4
Aba Tieku,University of Pittsburgh,2
Abby Fechisso,University of Massachusetts,2
Abby Poprocki,Princeton,10
Abdalla Hassan,George Washington,6
Abdul Rafay,Bates,18
Abdul Wahab,CUNY,10
Abdullah Mejjallid,University of Massachusetts,22
Abha Dahal,Lehigh,10
Abha Dahal,Temple,8
Abhay Sankar,Princeton,24
Abigail Fechisso,University of Massachusetts,20
Abigail Hill,Georgetown,85
Abigail Hill,George Washington,44
Abigail Hill,William and Mary,42
Abigail Hill,University of Chicago,16
Abigail Hill,Penn,10
Abigail Hill,Johns Hopkins,8
Abigail Hill,MIT,8
Abigail Mammo,Brown,14
Abigail Rudnitsky,Bates,8
Abigail Sterner,Swarthmore,16
Abra Mazzeo,Swarthmore,22
Abraham Paik,Williams,32
Abraham Paik,Columbia,8
Adam Harrington,Maryland,26
Adam Harrington,Rutgers,4
Adam Harrington,George Washington,2
Adam Jensen,University of Chicago,16
Adam Pochobut,University of Massachusetts,40
Addie Gill,Tufts,34
Adi Ram,University of Chicago,35
Adi Ram,Tufts,12
Adi Ram,Penn,8
Adi Ram,William and Mary,8
Adi Ram,Yale,7
Adi Ram,Harvard,4
Adi Ram,Vassar,2
Adiba Ejaz,Columbia,18
Adina Almenova,Wellesley,24
Adithi Attada,Swarthmore,10
Aditya Dhar,Harvard,30
Aditya Jayakrishnan,Penn,6
Aditya Jayakrishnan,Swarthmore,4
Aditya Jayakrishnan,CUNY,2
Aditya Pandey,NYU,8
Admir Radoncic,Temple,6
Admir Radoncic,George Washington,4
Adrian Duran,Haverford,6
Adrian Pani,Rutgers,32
Adrian Pani,George Washington,6
Adrian Ramirez,Harvard,4
Adrian Turkedjiev,Yale,37
Adrian Turkedjiev,Brown,8
Advik Sharma,Northwestern,8
Advika Sadasivan,Stanford,10
Aemen Iqbal,NYU,8
Agustin Duarte Baracat,University of Chicago,10
Ahmad Howard,University of Chicago,131
Ahmad Howard,Tufts,24
Ahmad Howard,Georgetown,10
Ahmad Howard,Harvard,8
Ahmad Howard,Johns Hopkins,4
Ahmad Howard,Yale,2
Ahmadou Diawara,William and Mary,10
Aidan Cao,Pace,10
Aidan Gahr,Georgetown,4
Aidan Gillies,Georgetown,108
Aidan Gillies,George Washington,4
Aidan Haya,Columbia,17
Aidan Healy,Yale,10
Aidan Hollinger-Miles,University of Chicago,22
Aidan Shannon,University of Chicago,102
Aidan Shannon,George Washington,10
Aidan Shannon,Georgetown,5
Aidan Thompson,Fordham,74
Aidan Thompson,NYU,14
Aidan Thompson,Rutgers,6
Aidan Vissers,Harvard,8
Aidan Wang,Fordham,16
Aiden Alanmanou,Harvard,10
Aiden Zhang,Tufts,73
Aiden Zhang,Amherst,28
Aiden Zhang,Brandeis,20
Aiden Zhang,Northeastern,20
Aiden Zhang,Brown,8
Aiden Zhang,Yale,8
Aiden Zhang,NYU,4
Aiden Zhang,Bates,2
Aidric Potkovic,University of Virginia,27
Ailin Jia,NYU,118
Ailin Jia,Penn,2
