Tournament,Season,Year,Total_Rounds,Semester
Maryland,Fall,2019,120.0,Fall 2019
Tufts,Spring,2020,175.0,Spring 2020
Amherst,Spring,2021,45.0,Spring 2021
Northeastern,Fall,2022,201.0,Fall 2022
Brown,Spring,2022,143.0,Spring 2022
Smith,Spring,2022,28.0,Spring 2022
George Washington,Fall,2023,151.0,Fall 2023
Brandeis,Fall,2024,78.0,Fall 2024
American,Fall,2024,129.0,Fall 2024
Maryland,Spring,2024,37.0,Spring 2024
Brown,Fall,2025,178.0,Fall 2025
American,Spring,2026,96.0,Spring 2026
Carnegie Mellon,Spring,2026,44.0,Spring 2026
Yale,Spring,2020,214.0,Spring 2020
Wesleyan + The College of New Jersey,Spring,2021,27.0,Spring 2021
Maryland,Fall,2022,40.0,Fall 2022
Brandeis,Spring,2022,82.0,Spring 2022
Wesleyan,Spring,2022,49.0,Spring 2022
Georgetown,Fall,2022,55.0,Fall 2022
Columbia,Fall,2023,131.0,Fall 2023
Carnegie Mellon,Spring,2023,38.0,Spring 2023
Wellesley,Spring,2023,75.0,Spring 2023
Princeton,Spring,2024,216.0,Spring 2024
Carnegie Mellon,Fall,2025,34.0,Fall 2025
Johns Hopkins,Spring,2025,29.0,Spring 2025
Wellesley,Spring,2025,37.0,Spring 2025
American,Spring,2025,83.0,Spring 2025
Northeastern,Spring,2026,128.0,Spring 2026
American,Fall,2019,227.0,Fall 2019
The College of New Jersey,Fall,2019,50.0,Fall 2019
CUNY,Fall,2019,73.0,Fall 2019
Swarthmore,Spring,2020,105.0,Spring 2020
George Washington,Spring,2020,97.0,Spring 2020
Rutgers,Spring,2020,204.0,Spring 2020
NYU + Washington University,Spring,2021,50.0,Spring 2021
Carnegie Mellon,Spring,2021,54.0,Spring 2021
University of Virginia,Spring,2023,37.0,Spring 2023
Georgetown,Spring,2023,83.0,Spring 2023
Georgetown,Fall,2024,94.0,Fall 2024
Maryland,Fall,2024,41.0,Fall 2024
Georgetown,Spring,2025,49.0,Spring 2025
Amherst,Spring,2026,146.0,Spring 2026
University of Massachusetts + Amherst,Spring,2026,55.0,Spring 2026
University of Virginia + Wellesley,Fall,2020,54.0,Fall 2020
Brandeis,Fall,2022,54.0,Fall 2022
University of Pittsburgh + Carnegie Mellon,Spring,2022,35.0,Spring 2022
Maryland,Spring,2022,30.0,Spring 2022
Brown + Wesleyan,Fall,2023,122.0,Fall 2023
NYU,Fall,2024,126.0,Fall 2024
Northeastern,Fall,2024,166.0,Fall 2024
Brown,Spring,2024,65.0,Spring 2024
Wellesley,Fall,2025,34.0,Fall 2025
William and Mary,Spring,2025,43.0,Spring 2025
University of Massachusetts + Amherst,Spring,2025,94.0,Spring 2025
Georgetown,Spring,2026,114.0,Spring 2026
University of Virginia,Spring,2026,50.0,Spring 2026
Wellesley,Fall,2019,65.0,Fall 2019
Columbia + Swarthmore,Spring,2020,20.0,Spring 2020
Georgetown,Spring,2022,42.0,Spring 2022
University of Virginia,Spring,2022,55.0,Spring 2022
Princeton,Spring,2023,212.0,Spring 2023
Columbia,Fall,2024,113.0,Fall 2024
Carnegie Mellon,Fall,2024,29.0,Fall 2024
American,Spring,2024,70.0,Spring 2024
Johns Hopkins,Spring,2024,70.0,Spring 2024
Wellesley,Spring,2024,30.0,Spring 2024
Princeton,Spring,2025,261.0,Spring 2025
Drexel,Spring,2025,40.0,Spring 2025
Maryland,Spring,2026,28.0,Spring 2026
Amherst,Fall,2019,131.0,Fall 2019
George Washington,Fall,2022,137.0,Fall 2022
Northeastern,Spring,2022,136.0,Spring 2022
Smith,Fall,2022,26.0,Fall 2022
Boston,Fall,2023,238.0,Fall 2023
Northeastern,Fall,2023,195.0,Fall 2023
Brown,Spring,2023,76.0,Spring 2023
William and Mary,Spring,2024,36.0,Spring 2024
Temple,Spring,2024,82.0,Spring 2024
Boston,Fall,2025,250.0,Fall 2025
Brown,Spring,2025,98.0,Spring 2025
Brandeis,Spring,2026,132.0,Spring 2026
University of Pittsburgh,Fall,2024,38.0,Fall 2024
Penn,Spring,2024,99.0,Spring 2024
Harvard,Fall,2025,272.0,Fall 2025
Swarthmore,Fall,2025,42.0,Fall 2025
Swarthmore,Spring,2026,72.0,Spring 2026
George Washington,Spring,2026,98.0,Spring 2026
University of Delaware,Spring,2026,34.0,Spring 2026
Rutgers,Spring,2026,108.0,Spring 2026
Smith,Fall,2019,95.0,Fall 2019
George Washington,Fall,2019,112.0,Fall 2019
Brown,Fall,2019,159.0,Fall 2019
Columbia,Fall,2022,205.0,Fall 2022
Wellesley,Spring,2022,49.0,Spring 2022
Georgetown,Fall,2023,60.0,Fall 2023
Maryland,Fall,2023,67.0,Fall 2023
Wesleyan,Spring,2023,60.0,Spring 2023
University of Virginia,Spring,2024,37.0,Spring 2024
Georgetown,Spring,2024,93.0,Spring 2024
Brown,Spring,2026,92.0,Spring 2026
University of Pittsburgh,Fall,2019,50.0,Fall 2019
CUNY + Maryland,Fall,2020,48.0,Fall 2020
Columbia,Fall,2020,29.0,Fall 2020
Carnegie Mellon,Spring,2020,58.0,Spring 2020
Temple + Wesleyan,Fall,2021,84.0,Fall 2021
George Washington,Spring,2021,50.0,Spring 2021
Johns Hopkins,Fall,2022,81.0,Fall 2022
