school,public_private,region,ivy
American,Private,South,Not Ivy
Adelphi,Private,North,Not Ivy
Amherst,Private,North,Not Ivy
Bard,Private,North,Not Ivy
Bates,Private,North,Not Ivy
Bentley University,Private,North,Not Ivy
Berkeley,Public,Central,Not Ivy
Binghamton University,Public,North,Not Ivy
Boston College,Private,North,Not Ivy
Boston University,Private,North,Not Ivy
Bowdoin College,Private,North,Not Ivy
Brierley Price Prior,International,Central,Not Ivy
Bradley,Private,Central,Not Ivy
Brandeis,Private,North,Not Ivy
Brown,Private,North,Ivy
Bryn Mawr,Private,Central,Not Ivy
Bucknell,Private,Central,Not Ivy
Cambridge,International,Central,Not Ivy
Carleton,Private,Central,Not Ivy
Carnegie Mellon,Private,Central,Not Ivy
City College of San Francisco,Public,Central,Not Ivy
Claremont,Private,Central,Not Ivy
Colgate,Private,North,Not Ivy
Columbia,Private,North,Ivy
Columbia Law,Private,North,Ivy
Cornell,Private,North,Ivy
CUNY,Public,Central,Not Ivy
Dalhousie,International,Central,Not Ivy
Dartmouth,Private,North,Ivy
Davidson,Private,South,Not Ivy
Denison,Private,Central,Not Ivy
Drexel,Private,Central,Not Ivy
Duke,Private,South,Not Ivy
Duquesne University,Private,Central,Not Ivy
Durham,International,Central,Not Ivy
Emory,Private,South,Not Ivy
Fairfield,Private,North,Not Ivy
Fisher College,Private,North,Not Ivy
Florida International University,Public,South,Not Ivy
Florida State University,Public,South,Not Ivy
Fordham,Private,North,Not Ivy
FranklinandMarshall,Private,Central,Not Ivy
George Mason,Public,South,Not Ivy
Georgetown,Private,South,Not Ivy
George Washington,Private,South,Not Ivy
Glasgow,International,Central,Not Ivy
Grinnell,Private,Central,Not Ivy
Grove City College,Private,Central,Not Ivy
Hamilton,Private,North,Not Ivy
Hart House,International,Central,Not Ivy
Harvard,Private,North,Ivy
Harvard Law,Private,North,Ivy
Haverford,Private,Central,Not Ivy
Hobart and William Smith,Private,North,Not Ivy
University of Dhaka,International,Central,Not Ivy
IIUM,International,Central,Not Ivy
Johns Hopkins,Private,South,Not Ivy
Kings,International,Central,Not Ivy
Kwame Nkrumah University of Science and Technology,International,Central,Not Ivy
La Verne,Private,Central,Not Ivy
Lehigh,Private,Central,Not Ivy
Loyola Marymount,Private,Central,Not Ivy
Loyola University Chicago,Private,Central,Not Ivy
Maryland,Public,South,Not Ivy
McGill,International,Central,Not Ivy
Middlebury,Private,North,Not Ivy
MIT,Private,North,Not Ivy
Moody Bible Institute,Private,Central,Not Ivy
Morehouse College,Private,South,Not Ivy
Mount Holyoke,Private,North,Not Ivy
Northeastern,Private,North,Not Ivy
Northwestern,Private,Central,Not Ivy
Notre Dame,Private,Central,Not Ivy
NYU,Private,North,Not Ivy
Odette,International,Central,Not Ivy
Ottawa,International,Central,Not Ivy
Oxford,International,Central,Not Ivy
Pace,Private,North,Not Ivy
Patrick Henry,Private,South,Not Ivy
Penn,Private,Central,Ivy
Prince George's Community College,Public,South,Not Ivy
Princeton,Private,Central,Ivy
Providence College,Private,North,Not Ivy
Quakers,Unclear,Central,Not Ivy
Queen's University,International,Central,Not Ivy
RIT,Private,North,Not Ivy
Rochester,Private,North,Not Ivy
RPI,Private,North,Not Ivy
Rutgers,Public,Central,Not Ivy
San Jose State,Public,Central,Not Ivy
Santa Clara,Private,Central,Not Ivy
Simon Fraser University,International,Central,Not Ivy
Simon's Rock College,Private,North,Not Ivy
Skidmore,Private,North,Not Ivy
Smith,Private,North,Not Ivy
Spelman,Private,South,Not Ivy
St. Andrews,International,Central,Not Ivy
Stanford,Private,Central,Not Ivy
St. Johns,Private,North,Not Ivy
St. Mary's,Private,South,Not Ivy
Stony Brook University,Public,North,Not Ivy
Swarthmore,Private,Central,Not Ivy
Syracuse,Private,North,Not Ivy
Tal Aviv,International,Central,Not Ivy
Temple,Public,Central,Not Ivy
TESU,Public,Central,Not Ivy
The College of New Jersey,Public,Central,Not Ivy
Trinity,Private,North,Not Ivy
Tufts,Private,North,Not Ivy
Tulane,Private,South,Not Ivy
Tulsa,Private,Central,Not Ivy
UCD L&H,International,Central,Not Ivy
UCLA,Public,Central,Not Ivy
UConn,Public,North,Not Ivy
UMBC,Public,South,Not Ivy
University of Alaska Anchorage,Public,Central,Not Ivy
University of Albany,Public,North,Not Ivy
University of British Columbia,International,Central,Not Ivy
University of Calgary,International,Central,Not Ivy
University of Chicago,Private,Central,Not Ivy
University of Delaware,Public,South,Not Ivy
University of Denver,Private,Central,Not Ivy
University of Guelph,International,Central,Not Ivy
University of Hawaii at Manoa,Public,Central,Not Ivy
University of Massachusetts,Public,North,Not Ivy
University of Michigan,Public,Central,Not Ivy
University of Minnesota,Public,Central,Not Ivy
University of New South Wales,International,Central,Not Ivy
University of North Carolina,Public,South,Not Ivy
University of Pittsburgh,Public,Central,Not Ivy
University of Southern California,Private,Central,Not Ivy
University of Sydney,International,Central,Not Ivy
University of the People,Private,Central,Not Ivy
University of Vermont,Public,North,Not Ivy
University of Virginia,Public,South,Not Ivy
University of Waterloo,International,Central,Not Ivy
UT Austin,Public,Central,Not Ivy
Vassar,Private,North,Not Ivy
Villanova,Private,Central,Not Ivy
Washington University in St. Louis,Private,Central,Not Ivy
Wellesley,Private,North,Not Ivy
Wesleyan,Private,North,Not Ivy
Western,International,Central,Not Ivy
Wilfred Laurier University,International,Central,Not Ivy
William and Mary,Public,South,Not Ivy
Williams,Private,North,Not Ivy
WSCC,Unclear,Central,Not Ivy
York University,International,Central,Not Ivy
Yale,Private,North,Ivy
