id,name,date,season,teams,novice_debaters,special,online
1,George Washington,04/17/2026,2025-26,40.0,40.0,,
2,Columbia,02/13/2026,2025-26,24.0,26.0,BIPOC,
3,Rutgers,02/06/2026,2025-26,45.0,41.0,,
4,Boston University,01/30/2026,2025-26,53.0,58.0,,
5,Penn,01/30/2026,2025-26,59.0,54.0,,
6,University of Chicago,01/23/2026,2025-26,44.0,47.0,,
7,Drexel,01/09/2026,2025-26,25.0,18.0,,
8,University of Delaware,01/02/2026,2025-26,14.0,9.0,,
9,Temple,12/05/2025,2025-26,16.0,19.0,Gender Minority,
10,Wellesley,12/05/2025,2025-26,16.0,19.0,Gender Minority,
11,Penn,11/21/2025,2025-26,64.0,60.0,,
12,Johns Hopkins,04/24/2026,2025-26,62.0,41.0,Nationals,
13,Temple,02/20/2026,2025-26,52.0,64.0,ProAms,
14,Amherst,02/20/2026,2025-26,62.0,78.0,ProAms,
15,University of Massachusetts,04/17/2026,2025-26,25.0,21.0,,
16,Princeton,04/10/2026,2025-26,86.0,71.0,,
17,Northeastern,03/27/2026,2025-26,55.0,60.0,,
18,University of Virginia,04/03/2026,2025-26,20.0,17.0,,
19,Yale,04/03/2026,2025-26,46.0,35.0,,
20,Georgetown,03/20/2026,2025-26,47.0,44.0,,
21,Carnegie Mellon,03/27/2026,2025-26,19.0,14.0,Expansion,
22,American,03/13/2026,2025-26,40.0,29.0,,
23,Maryland,03/06/2026,2025-26,12.0,8.0,,
24,Brown,03/06/2026,2025-26,38.0,43.0,,
25,Swarthmore,02/27/2026,2025-26,29.0,18.0,,
26,Brandeis,02/27/2026,2025-26,54.0,64.0,,
27,Fordham,11/21/2025,2025-26,70.0,70.0,,
28,Wesleyan,11/14/2025,2025-26,24.0,24.0,,
29,Maryland,11/14/2025,2025-26,39.0,37.0,,
30,Northeastern,11/07/2025,2025-26,90.0,110.0,ProAms,
31,George Washington,11/07/2025,2025-26,68.0,81.0,ProAms,
32,Yale,11/01/2025,2025-26,120.0,121.0,,
33,Carnegie Mellon,10/31/2025,2025-26,15.0,11.0,Expansion,
34,Brandeis,10/31/2025,2025-26,16.0,11.0,,
35,Brown,10/24/2025,2025-26,72.0,83.0,,
36,William and Mary,10/24/2025,2025-26,16.0,19.0,,
37,University of Virginia,10/17/2025,2025-26,33.0,26.0,,
38,Williams,10/17/2025,2025-26,19.0,13.0,,
39,Harvard,10/10/2025,2025-26,111.0,60.0,,
40,Swarthmore,10/03/2025,2025-26,17.0,34.0,Novice,
41,Johns Hopkins,10/03/2025,2025-26,38.0,75.0,Novice,
42,Boston University,10/03/2025,2025-26,97.0,194.0,Novice,
43,Tufts,09/26/2025,2025-26,32.0,23.0,,
44,American,09/26/2025,2025-26,22.0,21.0,,
45,Bates,09/19/2025,2025-26,24.0,5.0,,
46,University of Pittsburgh,09/19/2025,2025-26,16.0,12.0,,
47,Binghamton University,09/12/2025,2025-26,18.0,1.0,,
48,Drexel,09/06/2025,2025-26,22.0,3.0,,
49,NYU,04/25/2025,2024-25,86.0,63.0,Nationals,
50,University of Massachusetts,04/18/2025,2024-25,40.0,44.0,,
51,University of Virginia,04/18/2025,2024-25,36.0,38.0,,
52,Princeton,04/11/2025,2024-25,106.0,109.0,,
53,Johns Hopkins,04/04/2025,2024-25,12.0,16.0,Gender Minority,
54,Wellesley,04/04/2025,2024-25,16.0,18.0,Gender Minority,
55,Maryland,03/28/2025,2024-25,25.0,28.0,,
56,Boston University,03/28/2025,2024-25,45.0,56.0,,
57,George Washington,03/21/2025,2024-25,35.0,42.0,,
58,Brandeis,03/21/2025,2024-25,30.0,27.0,,
59,Georgetown,03/14/2025,2024-25,20.0,14.0,,
60,Northeastern,03/14/2025,2024-25,17.0,12.0,,
61,Brown,03/07/2025,2024-25,40.0,38.0,,
62,University of Virginia,03/07/2025,2024-25,11.0,6.0,,Online
63,Yale,02/28/2025,2024-25,46.0,56.0,,
64,Swarthmore,02/28/2025,2024-25,24.0,28.0,,
65,Williams,02/21/2025,2024-25,32.0,38.0,ProAms,
66,American,02/21/2025,2024-25,35.0,42.0,ProAms,
67,Temple,02/21/2025,2024-25,18.0,23.0,ProAms,
68,Rutgers,02/15/2025,2024-25,45.0,47.0,,
69,Carnegie Mellon,02/07/2025,2024-25,12.0,8.0,Expansion,
70,Amherst,02/07/2025,2024-25,48.0,48.0,,
71,Tufts,01/31/2025,2024-25,46.0,47.0,,
72,Penn,01/31/2025,2024-25,64.0,73.0,,
73,University of Chicago,01/24/2025,2024-25,37.0,26.0,,
74,Drexel,01/24/2025,2024-25,17.0,34.0,Novice,
75,UT Austin,01/10/2025,2024-25,27.0,21.0,,
76,William and Mary,01/03/2025,2024-25,18.0,17.0,,Online
